['p13', '00:00:30', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:37', 'pan', 'geo-0-1', '-289', '173', 'Sensemaking']
['p13', '00:00:38', 'zoom', 'geo-0-1', '3', 'Sensemaking']
['p13', '00:00:38', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-768-1023-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-768-1023-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-0-255-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x2-0-11-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-0-255-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x3-0-30-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-0-255-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-0-255-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-0-255-3x1-256-511-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-0-255-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-3x1-256-511-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-0-255-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-3x1-256-511-3x5-0-29-1', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-4x1-256-511-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-4x1-512-767-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-256-511-4x1-768-1023-4x4-0-23-0', 'Sensemaking']
['p13', '00:00:38', 'tile cached', 'undefined', '0-512-767-4x1-256-511-4x4-0-23-0', 'Sensemaking']
