['p9', '00:07:09', 'brush', 'hist-3', '3-1-1-0_', 'Sensemaking']
['p9', '00:07:09', 'brush', 'hist-3', '3-2-2-0_', 'Sensemaking']
['p9', '00:07:09', 'brush', 'hist-3', '3-3-3-0_', 'Sensemaking']
['p9', '00:07:09', 'brush', 'hist-3', '3-4-4-0_', 'Sensemaking']
['p9', '00:07:09', 'brush', 'hist-3', '3-5-5-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-6-6-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-7-7-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-8-8-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-9-9-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-10-10-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-11-11-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-12-12-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-13-13-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-14-14-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-15-15-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-16-16-0_', 'Sensemaking']
['p9', '00:07:10', 'brush', 'hist-3', '3-17-17-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-18-18-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-19-19-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-20-20-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-21-21-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-24-24-0_', 'Sensemaking']
['p9', '00:07:11', 'brush', 'hist-3', '3-25-25-0_', 'Sensemaking']
['p9', '00:07:12', 'brush', 'hist-3', '3-26-26-0_', 'Sensemaking']
['p9', '00:07:12', 'brush', 'hist-3', '3-27-27-0_', 'Sensemaking']
['p9', '00:07:12', 'brush', 'hist-3', '3-28-28-0_', 'Sensemaking']
['p9', '00:07:12', 'brush', 'hist-3', '3-29-29-0_', 'Sensemaking']
['p9', '00:07:12', 'brush', 'hist-3', '3-30-30-0_', 'Sensemaking']
['p9', '00:07:12', 'brush', 'hist-3', '3-31-31-0_', 'Sensemaking']
['p9', '00:07:12', 'clear', 'undefined', 'undefined', 'Sensemaking']
['p9', '00:07:12', 'brush', 'hist-3', '3-31-31-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-30-30-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-29-29-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-28-28-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-27-27-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-26-26-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-25-25-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-24-24-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-23-23-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-22-22-0_', 'Sensemaking']
['p9', '00:07:13', 'brush', 'hist-3', '3-21-21-0_', 'Sensemaking']
['p9', '00:07:14', 'brush', 'hist-3', '3-20-20-0_', 'Sensemaking']
['p9', '00:07:14', 'brush', 'hist-3', '3-19-19-0_', 'Sensemaking']
