['p12', '00:27:05', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:05', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:05', 'pan', 'geo-0-1', '9', '0', 'Exploration']
['p12', '00:27:05', 'pan', 'geo-0-1', '5', '0', 'Question / Hypothesis']
['p12', '00:27:05', 'pan', 'geo-0-1', '5', '-1', 'Sensemaking']
['p12', '00:27:05', 'pan', 'geo-0-1', '6', '0', 'Question / Hypothesis']
['p12', '00:27:05', 'pan', 'geo-0-1', '9', '0', 'Sensemaking']
['p12', '00:27:05', 'pan', 'geo-0-1', '19', '0', 'Sensemaking']
['p12', '00:27:05', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:27:05', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p12', '00:27:05', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p12', '00:27:05', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p12', '00:27:05', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:05', 'pan', 'geo-0-1', '7', '1', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '32', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '6', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '-511', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '5', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '8', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '9', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '4', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '2', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '3', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '1', '0', 'Exploration']
['p12', '00:27:06', 'pan', 'geo-0-1', '0', '0', 'Exploration']
['p12', '00:27:07', 'pan', 'geo-0-1', '1', '0', 'Exploration']
